City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Fatezh,RU,2022-04-05 20:13:40,52.0891,35.8632,37.38,81,100,16.93
275,Kruisfontein,ZA,2022-04-05 20:13:40,-34.0033,24.7314,61.88,71,7,16.84
276,Sistranda,NO,2022-04-05 20:13:41,63.7256,8.834,31.96,53,100,20.07
277,Bam,IR,2022-04-05 20:13:41,29.106,58.357,76.71,13,0,12.44
278,Bone,DE,2022-04-05 20:13:41,51.9669,12.1396,50.25,92,100,13.6
279,Sitka,US,2022-04-05 20:09:04,57.0531,-135.33,39.09,81,75,0.0
280,Noumea,NC,2022-04-05 20:13:42,-22.2763,166.4572,73.38,83,100,10.96
281,Rawson,AR,2022-04-05 20:11:06,-43.3002,-65.1023,75.67,34,48,25.26
282,Vestmannaeyjar,IS,2022-04-05 20:13:42,63.4427,-20.2734,31.82,48,100,17.27
283,Bambanglipuro,ID,2022-04-05 20:13:43,-7.95,110.2833,75.04,91,100,2.44
284,Yatou,CN,2022-04-05 20:13:43,37.15,122.3833,45.14,65,0,14.83
285,Sovetskiy,RU,2022-04-05 20:13:43,61.3614,63.5842,23.68,92,100,9.86
286,Dabrowa Tarnowska,PL,2022-04-05 20:13:44,50.1746,20.9863,44.69,89,100,14.16
287,Ayni,TJ,2022-04-05 20:13:44,39.3941,68.5377,52.7,45,40,7.29
288,Neyshabur,IR,2022-04-05 20:13:44,36.2133,58.7958,71.08,22,98,3.8
289,Hobyo,SO,2022-04-05 20:13:45,5.3505,48.5268,81.59,71,69,15.5
290,Shelburne,CA,2022-04-05 20:13:45,44.0787,-80.2041,51.37,64,98,7.96
291,Rio Gallegos,AR,2022-04-05 20:10:45,-51.6226,-69.2181,49.17,39,77,17.54
292,Ubatuba,BR,2022-04-05 20:13:45,-23.4339,-45.0711,77.65,92,80,7.27
293,Chake Chake,TZ,2022-04-05 20:13:46,-5.2459,39.7666,81.25,75,11,8.21
